pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
2175,669203,"Burnes, Corbin",2175,100,0.184,0.139,0.248,0.323,0.255,0.265,0.202,90,489,86.8,9.1,2603,91.3,91.5,346,981,1194,0.2,6.37,119,156,122,148,297,318,297
2156,543037,"Cole, Gerrit",2156,100,0.213,0.163,0.284,0.376,0.275,0.285,0.225,107,503,90.2,12.3,2431,92.8,92.81,328,1030,1126,0,6.4,117,159,123,153,293,327,290
2105,645261,"Alcantara, Sandy",2105,100,0.203,0.107,0.26,0.311,0.253,0.261,0.21,108,531,87.2,3.7,2219,94.5,93.51,294,1117,988,-1,5.88,115,159,119,153,297,317,294
2073,571945,"Mikolas, Miles",2073,100,0.212,0.134,0.241,0.345,0.26,0.298,0.25,106,501,87.6,10.3,2333,88,88.1,191,998,1075,0.1,6.44,122,160,116,152,301,323,302
1994,605400,"Nola, Aaron",1994,100,0.199,0.107,0.27,0.306,0.24,0.247,0.201,100,503,87.7,12.3,2215,87.5,88.21,273,964,1030,0.7,6.89,117,154,123,146,296,326,294
1963,592662,"Ray, Robbie",1963,100,0.24,0.209,0.295,0.448,0.329,0.308,0.228,107,446,90.4,15.1,2222,90.8,90.91,299,1007,956,0.1,6.42,114,155,121,147,294,322,286
1959,518876,"Kelly, Merrill",1959,100,0.233,0.134,0.293,0.368,0.287,0.282,0.225,111,476,88.6,13.2,2297,90,89.56,237,950,1009,-0.4,6.14,118,155,122,151,301,322,298
1952,668678,"Gallen, Zac",1952,100,0.18,0.111,0.234,0.291,0.241,0.275,0.212,78,433,87.9,10,2327,89.6,89.9,203,912,1040,0.3,6.56,118,156,123,151,300,323,298
1951,506433,"Darvish, Yu",1951,100,0.198,0.139,0.235,0.338,0.257,0.292,0.225,94,474,88.1,17.4,2511,87.9,88.39,238,957,994,0.5,6.61,120,167,119,153,295,320,301
1939,669456,"Bieber, Shane",1939,100,0.222,0.102,0.277,0.323,0.255,0.298,0.249,109,492,90.6,10.1,2315,87.1,87.84,262,946,993,0.7,6.62,116,160,118,152,297,318,294
1906,656302,"Cease, Dylan",1906,100,0.2,0.12,0.274,0.32,0.275,0.263,0.19,82,410,87,16.6,2649,90.1,89.68,273,863,1043,-0.4,5.99,114,155,111,151,298,325,299
1906,663474,"McKenzie, Triston",1906,100,0.18,0.149,0.215,0.329,0.256,0.292,0.213,82,456,90.4,19.3,2266,88.6,89.14,266,979,927,0.5,6.69,116,159,121,152,294,317,293
1889,669302,"Gilbert, Logan",1889,100,0.244,0.15,0.305,0.394,0.302,0.306,0.25,106,434,90.9,14.5,2153,91.5,93.3,224,942,947,1.8,7.33,118,156,120,150,293,324,297
1885,641154,"López, Pablo",1885,100,0.229,0.171,0.283,0.4,0.3,0.288,0.232,99,433,88.2,10.1,2131,90.1,90.86,244,900,985,0.8,6.86,116,158,120,153,296,316,293
1861,666201,"Manoah, Alek",1861,100,0.209,0.123,0.255,0.333,0.27,0.295,0.233,95,454,87.5,18,2230,89.4,89.73,213,910,951,0.3,6.65,118,168,118,153,290,320,299
1848,425794,"Wainwright, Adam",1848,100,0.266,0.142,0.307,0.409,0.315,0.337,0.28,118,443,89.2,11.5,2394,81.8,81.81,116,779,1069,0,6.4,122,160,116,152,301,322,302
1839,607074,"Rodón, Carlos",1839,100,0.205,0.099,0.301,0.304,0.258,0.258,0.2,83,405,88.4,19.2,2363,90.8,90.66,259,856,983,-0.1,6.19,115,155,116,149,299,322,291
1804,450203,"Morton, Charlie",1804,100,0.217,0.182,0.274,0.399,0.316,0.309,0.218,85,391,89.4,15.5,2586,88.6,88.24,233,781,1023,-0.4,6.2,121,154,130,147,303,325,302
1778,657277,"Webb, Logan",1778,100,0.242,0.115,0.305,0.357,0.291,0.299,0.246,103,426,88.8,2.6,2023,87.3,88.11,204,797,981,0.8,6.72,117,155,118,150,298,325,297
1769,605397,"Musgrove, Joe",1769,100,0.238,0.172,0.305,0.41,0.304,0.28,0.223,102,429,86.6,11.8,2575,87.4,86.87,215,823,946,-0.5,5.99,122,168,119,153,296,319,300
1765,615698,"Quantrill, Cal",1765,100,0.252,0.119,0.282,0.371,0.289,0.323,0.269,112,445,88.3,14.7,2132,90.1,90.29,159,858,907,0.2,6.33,116,158,120,152,292,316,293
1759,594835,"Gonzales, Marco",1759,100,0.265,0.191,0.271,0.456,0.339,0.34,0.273,114,430,86.7,14.7,2045,83.8,83.8,155,873,886,0,6.36,114,155,121,147,296,320,288
1757,605135,"Bassitt, Chris",1757,100,0.221,0.118,0.266,0.339,0.272,0.291,0.229,94,425,86.4,11.2,2196,86.5,86.28,180,817,940,-0.2,6.22,119,160,118,150,299,328,303
1755,601713,"Pivetta, Nick",1755,100,0.247,0.151,0.307,0.398,0.321,0.34,0.256,97,392,91.3,13.3,2402,87.4,87.77,202,834,921,0.4,6.66,117,161,118,152,294,329,297
1751,664285,"Valdez, Framber",1751,100,0.228,0.068,0.291,0.296,0.274,0.298,0.236,97,426,89.7,-4.5,2369,88.3,87.32,183,779,972,-1,5.87,118,158,116,149,295,322,292
1748,656756,"Montgomery, Jordan",1748,100,0.225,0.125,0.266,0.35,0.273,0.311,0.261,97,431,87.4,10.9,2130,87.7,88.27,255,867,881,0.6,6.64,115,156,120,150,299,323,290
1748,592791,"Taillon, Jameson",1748,100,0.245,0.163,0.286,0.408,0.298,0.316,0.268,107,436,89,13.3,2422,89.8,90.11,190,849,899,0.3,6.58,117,157,121,152,294,326,291
1740,608331,"Fried, Max",1740,100,0.214,0.117,0.253,0.331,0.257,0.267,0.224,91,426,85.6,7.6,2158,87.4,87.53,218,842,898,0.1,6.3,117,155,122,151,309,324,295
1738,641482,"Cortes, Nestor",1738,100,0.177,0.13,0.215,0.307,0.237,0.26,0.208,72,407,88.5,18.3,2306,87,86.15,213,869,869,-0.8,5.75,114,160,121,152,298,327,287
1729,543475,"Lyles, Jordan",1729,100,0.276,0.163,0.313,0.44,0.334,0.342,0.274,115,416,88.4,15.7,2251,86.3,87,171,777,952,0.7,6.77,117,163,116,152,302,324,296
1722,434378,"Verlander, Justin",1722,100,0.18,0.072,0.232,0.252,0.21,0.25,0.207,77,428,87.8,16.1,2447,89.8,89.12,212,931,791,-0.7,6.06,121,159,117,151,293,322,294
1721,628711,"Urías, Julio",1721,100,0.214,0.173,0.245,0.387,0.291,0.286,0.218,88,411,86.8,16.5,2553,87.8,86.9,216,856,865,-0.9,5.69,115,157,119,149,301,315,288
1692,657140,"Wright, Kyle",1692,100,0.227,0.142,0.275,0.369,0.292,0.313,0.246,94,415,88.9,4.8,2346,90,90.47,212,820,872,0.5,6.54,121,153,124,149,303,325,301
1682,527048,"Pérez, Martín",1682,100,0.236,0.095,0.292,0.331,0.285,0.286,0.24,99,420,87.2,8.6,1983,88.7,88.12,164,725,957,-0.6,5.9,119,156,118,150,302,324,295
1666,663556,"McClanahan, Shane",1666,100,0.176,0.12,0.228,0.295,0.236,0.251,0.195,69,393,87.7,6.8,2210,89.8,90.47,286,816,850,0.7,6.85,108,156,114,150,305,327,297
1664,502043,"Gibson, Kyle",1664,100,0.246,0.166,0.281,0.412,0.311,0.319,0.258,99,403,88.3,10.2,2232,87.6,88.28,207,803,861,0.7,6.68,117,154,120,147,297,327,294
