pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
1327,601713,"Pivetta, Nick",1327,100,0.261,0.201,0.291,0.462,0.341,0.322,0.238,78,299,89.9,17.6,2384,87.3,87.79,143,632,695,0.5,6.77,101,152,115,148,292,328,296
1297,527048,"Pérez, Martín",1297,100,0.248,0.094,0.306,0.343,0.296,0.307,0.244,79,318,86.8,6.6,1989,89.6,88.96,114,600,697,-0.6,5.95,103,150,115,145,301,319,292
1285,425794,"Wainwright, Adam",1285,100,0.253,0.089,0.294,0.341,0.294,0.315,0.256,74,293,85.8,10.1,2434,82.4,82.59,114,583,702,0.2,6.43,102,148,115,146,297,320,301
1267,664285,"Valdez, Framber",1267,100,0.216,0.1,0.279,0.317,0.269,0.266,0.215,69,319,88.8,-3.1,2396,88.1,87.27,180,638,629,-0.8,5.98,98,149,112,145,293,321,289
1259,543475,"Lyles, Jordan",1259,100,0.276,0.197,0.312,0.473,0.35,0.339,0.258,81,294,88.1,14.4,2241,86.3,86.93,131,605,654,0.6,6.77,99,150,113,147,300,322,296
1230,607536,"Freeland, Kyle",1230,100,0.287,0.147,0.325,0.433,0.332,0.329,0.266,86,300,88.2,12.4,2257,86.7,87.47,143,630,600,0.8,6.58,101,150,120,146,305,329,299
1228,657277,"Webb, Logan",1228,100,0.237,0.093,0.28,0.33,0.272,0.289,0.249,71,300,87.6,2.5,1994,86.7,87.59,137,624,604,0.9,6.76,101,147,112,146,296,322,295
1214,656302,"Cease, Dylan",1214,100,0.174,0.111,0.241,0.285,0.245,0.248,0.174,44,253,85.9,11.9,2663,90.1,89.87,218,614,600,-0.2,6.15,99,148,110,144,298,326,299
1196,518516,"Bumgarner, Madison",1196,100,0.3,0.157,0.351,0.457,0.364,0.339,0.259,80,267,89,14.7,2185,86.6,86.75,118,586,610,0.1,6.56,100,148,117,144,300,321,295
1188,608566,"Márquez, Germán",1188,100,0.276,0.183,0.301,0.458,0.333,0.301,0.244,83,301,87.8,7.7,2295,92.1,91.04,139,628,560,-1.1,5.51,103,148,117,147,303,327,303
1180,592332,"Gausman, Kevin",1180,100,0.246,0.114,0.327,0.361,0.279,0.26,0.215,69,280,86.8,11.5,1990,90.1,90.11,202,670,510,0,6.45,101,147,117,145,294,321,296
1171,608337,"Giolito, Lucas",1171,100,0.272,0.2,0.308,0.472,0.349,0.326,0.254,72,265,88,14.1,1915,87.1,87.9,145,578,593,0.8,6.81,100,148,111,146,300,328,297
1168,571578,"Corbin, Patrick",1168,100,0.362,0.191,0.419,0.553,0.418,0.397,0.318,106,293,90.4,11.5,2071,88.7,89.38,121,570,598,0.7,6.77,104,150,117,145,299,317,291
1154,615698,"Quantrill, Cal",1154,100,0.257,0.163,0.277,0.42,0.331,0.316,0.239,66,257,84.5,10.8,2054,90.6,90.97,104,562,591,0.4,6.41,101,148,115,147,291,315,292
1152,656605,"Keller, Mitch",1152,100,0.257,0.118,0.297,0.375,0.314,0.295,0.231,70,272,86.4,6.9,2455,89.5,89.46,121,557,595,0,6.34,97,146,113,145,304,323,298
1146,607074,"Rodón, Carlos",1146,100,0.197,0.119,0.286,0.316,0.251,0.248,0.194,48,244,88.5,19,2390,91.9,91.79,205,632,514,-0.1,6.21,100,150,114,146,297,321,289
1143,645261,"Alcantara, Sandy",1143,100,0.228,0.121,0.265,0.349,0.272,0.276,0.226,66,289,87.5,7.7,2216,94.3,93.23,146,616,526,-1.1,5.94,101,145,114,147,297,316,294
1129,605135,"Bassitt, Chris",1129,100,0.255,0.137,0.31,0.392,0.322,0.287,0.225,65,255,83.4,10,2202,86.6,86.3,136,524,605,-0.3,6.2,100,150,116,145,298,326,299
1126,669302,"Gilbert, Logan",1126,100,0.239,0.146,0.277,0.384,0.293,0.327,0.258,64,268,88.9,13.2,2111,90.6,92.42,143,576,550,1.8,7.32,101,149,117,144,291,324,297
1121,621244,"Berríos, José",1121,100,0.288,0.173,0.327,0.461,0.344,0.337,0.271,85,295,88.1,12.7,2089,89.2,89.17,123,555,566,0,6.43,97,148,117,147,293,320,299
1120,500779,"Quintana, José",1120,100,0.261,0.067,0.322,0.328,0.287,0.311,0.268,66,253,86.2,10.7,1960,86.9,87.13,133,548,572,0.2,6.43,99,147,114,145,305,322,295
1118,543037,"Cole, Gerrit",1118,100,0.2,0.221,0.234,0.421,0.299,0.282,0.191,47,235,87.8,13.2,2436,93.6,93.74,207,547,571,0.1,6.45,100,156,120,149,293,327,291
1114,663776,"Sandoval, Patrick",1114,100,0.259,0.078,0.328,0.337,0.298,0.3,0.246,66,255,85.2,10.2,2152,87.7,87.2,141,535,579,-0.5,6.01,101,150,115,148,296,322,291
1112,518876,"Kelly, Merrill",1112,100,0.213,0.163,0.229,0.376,0.292,0.321,0.24,56,263,87.4,13.5,2336,90.1,89.66,114,540,571,-0.4,6.17,101,150,118,146,301,322,297
1099,669203,"Burnes, Corbin",1099,100,0.223,0.153,0.28,0.376,0.289,0.291,0.233,54,242,87.1,10.9,2596,92.2,92.58,186,532,567,0.4,6.41,100,147,118,144,295,318,296
1093,450203,"Morton, Charlie",1093,100,0.257,0.173,0.32,0.43,0.325,0.32,0.245,64,249,88.6,11.1,2667,88.1,87.77,152,540,553,-0.3,6.18,100,150,114,148,302,326,301
1090,663738,"Lynch, Daniel",1090,100,0.272,0.213,0.274,0.485,0.348,0.352,0.276,65,239,89.9,14.9,1998,89.2,90.25,144,571,519,1,6.87,97,150,116,144,304,323,297
1088,664141,"Brubaker, JT",1088,100,0.267,0.155,0.326,0.422,0.34,0.315,0.233,69,258,88.6,12.4,2488,88.3,87.26,146,517,571,-1,5.65,100,147,112,146,302,323,300
1088,666201,"Manoah, Alek",1088,100,0.189,0.093,0.23,0.282,0.245,0.265,0.21,49,259,86.2,14.6,2253,89.8,90.15,150,551,537,0.3,6.69,99,149,116,147,290,319,294
1084,592662,"Ray, Robbie",1084,100,0.216,0.162,0.266,0.378,0.292,0.274,0.214,56,259,88.1,13.9,2221,90.7,90.81,171,562,522,0.1,6.52,99,148,118,142,294,322,285
1079,607200,"Fedde, Erick",1079,100,0.291,0.192,0.302,0.484,0.374,0.39,0.295,62,213,90.3,15,2096,87.4,88,82,473,606,0.6,6.67,102,151,117,146,296,317,296
1079,594835,"Gonzales, Marco",1079,100,0.279,0.181,0.287,0.46,0.334,0.315,0.258,80,287,85.8,14,2060,83.4,83.63,109,573,506,0.2,6.44,98,148,116,142,296,320,287
1078,608331,"Fried, Max",1078,100,0.244,0.056,0.322,0.301,0.253,0.26,0.232,65,266,85.7,6.5,2270,87.4,87.41,144,558,520,0,6.29,100,150,116,149,308,323,294
1075,502043,"Gibson, Kyle",1075,100,0.304,0.166,0.35,0.47,0.362,0.336,0.268,77,253,87.8,9.5,2267,88.2,88.95,126,526,549,0.7,6.77,99,147,115,144,297,327,290
1068,624133,"Suárez, Ranger",1068,100,0.231,0.142,0.271,0.372,0.303,0.289,0.222,57,247,86.5,4.4,1843,89.4,89.11,113,515,553,-0.3,6.21,100,146,115,143,299,325,287
1065,605397,"Musgrove, Joe",1065,100,0.208,0.128,0.234,0.336,0.273,0.286,0.227,52,250,84.9,10.4,2608,87,86.53,122,496,568,-0.5,6.03,101,157,115,148,295,320,299
1062,641540,"Dunning, Dane",1062,100,0.272,0.14,0.314,0.412,0.332,0.314,0.241,68,250,86.6,6.6,2008,84.9,85.15,123,479,582,0.3,6.59,102,148,115,146,298,320,296
1057,592791,"Taillon, Jameson",1057,100,0.246,0.222,0.263,0.468,0.324,0.319,0.246,61,248,86.1,15.9,2430,89.7,90.22,127,529,527,0.5,6.56,101,151,117,147,294,326,290
1045,605400,"Nola, Aaron",1045,100,0.259,0.167,0.33,0.426,0.311,0.282,0.231,68,263,85.9,11.7,2270,87.4,88.09,147,540,505,0.7,6.9,99,146,114,143,295,325,292
1042,663460,"Bubic, Kris",1042,100,0.297,0.134,0.328,0.431,0.336,0.357,0.296,71,239,88.3,11.4,2106,85.5,85.85,97,515,527,0.4,6.51,97,149,114,144,301,323,300
1041,571945,"Mikolas, Miles",1041,100,0.256,0.172,0.267,0.429,0.316,0.321,0.254,61,238,87.5,12,2312,87.5,87.68,93,524,517,0.2,6.39,101,147,115,145,298,322,299
1035,641771,"Kuhl, Chad",1035,100,0.29,0.253,0.313,0.543,0.389,0.373,0.274,64,221,89.6,16.2,2381,88.9,89.06,125,500,532,0.2,6.33,102,148,117,147,303,328,302
1025,641154,"López, Pablo",1025,100,0.244,0.168,0.284,0.412,0.314,0.324,0.254,58,238,86.8,12.7,2115,89.6,90.49,162,543,482,0.9,6.93,101,146,114,146,295,315,293
1024,664353,"Urquidy, José",1024,100,0.234,0.205,0.249,0.439,0.307,0.327,0.249,56,239,88.3,17.7,2303,88.3,87.42,124,532,492,-0.9,5.92,102,151,114,147,293,323,291
1020,506433,"Darvish, Yu",1020,100,0.224,0.095,0.282,0.32,0.263,0.288,0.23,54,241,88,15.4,2510,88.9,89.42,133,519,501,0.5,6.63,100,156,117,149,297,320,300
1020,641778,"Lauer, Eric",1020,100,0.238,0.186,0.285,0.424,0.324,0.298,0.222,50,210,87.5,21.5,2308,89.4,88.83,124,470,550,-0.6,6.2,98,148,118,144,297,319,296
1011,425844,"Greinke, Zack",1011,100,0.28,0.119,0.298,0.398,0.308,0.329,0.278,66,236,87.6,10.8,2220,84,83.57,83,466,545,-0.4,5.92,102,152,115,146,301,325,299
1006,641712,"Hudson, Dakota",1006,100,0.28,0.121,0.305,0.401,0.331,0.338,0.273,65,232,89,4.5,2200,89.3,89.53,91,474,532,0.2,6.31,101,146,112,144,298,322,300
1005,657140,"Wright, Kyle",1005,100,0.241,0.082,0.298,0.323,0.28,0.295,0.241,62,257,88.5,3.5,2395,89.9,90.18,135,497,508,0.3,6.52,100,150,113,149,304,325,302
1000,608344,"Irvin, Cole",1000,100,0.267,0.167,0.296,0.434,0.314,0.315,0.252,69,258,89.5,14.4,1917,86.6,86.74,112,535,465,0.1,6.41,98,147,115,147,303,322,293
1000,680686,"Gray, Josiah",1000,100,0.235,0.253,0.25,0.488,0.347,0.326,0.227,51,217,87.1,19.4,2213,88.7,86.99,134,463,536,-1.7,5.57,101,150,119,144,298,317,294
994,502171,"Cobb, Alex",994,100,0.283,0.109,0.349,0.393,0.317,0.274,0.233,70,247,87.7,2.2,1951,91.1,90.42,115,469,525,-0.7,5.86,99,148,113,144,298,323,295
992,660271,"Ohtani, Shohei",992,100,0.196,0.103,0.264,0.299,0.25,0.25,0.196,44,224,87.2,17,2268,90.1,90.84,162,504,488,0.7,6.81,102,151,114,148,295,322,293
989,622491,"Castillo, Luis",989,100,0.248,0.144,0.323,0.392,0.307,0.291,0.229,55,222,87.3,8,2226,92.9,91.8,142,523,466,-1.1,5.67,103,147,117,144,293,321,292
983,668678,"Gallen, Zac",983,100,0.197,0.142,0.242,0.339,0.269,0.284,0.215,43,218,85.6,11.2,2298,89.5,89.83,117,479,504,0.3,6.58,99,148,119,146,298,321,296
